"question","reponse","gouvernement"
"Quelles sont les aides à la reprise d'emploi versées par France Travail (anciennement Pôle emploi) ?","Il existe plusieurs aides à la reprise d'emploi versées par France Travail. Vous pouvez en bénéficier sous certaines conditions.
Dans le cadre d'une recherche ou reprise d'emploi ou d'une entrée en formation, France Travail peut prendre partiellement en charge vos
frais de déplacement, d'hébergement et de repas
.
Votre reprise d'emploi ou votre entrée en formation doit être située à plus de
60 kilomètres
ou à
2 heures
de trajet aller-retour de votre résidence principale.
Un
bon de transport ou de réservation SNCF
peut vous être accordé lorsque vous vous rendez à un entretien d'embauche ou à un concours public situé à plus de
60 kilomètres
aller-retour de votre lieu de résidence.
France Travail peut prendre en charge partiellement ou totalement vos frais d'apprentissage du
permis de conduire B
.
L'aide est attribuée dans la limite des enveloppes budgétaires disponibles qui varient en fonction des régions.
Si vous reprenez un emploi ou entrez en formation, vous pouvez bénéficier, sous certaines conditions, d'une
aide à la garde d'enfants
. Votre enfant doit avoir moins de
12 ans
.","1"
"Quelles sont les différences entre les aides personnelles au logement (APL, ALF, ALS) ?","Il existe
3 types d'aides
personnelles au logement :
Ces aides visent à
diminuer
le montant de votre
loyer
(ou
redevance
si vous résidez en foyer).
Ces aides se distinguent par leurs
conditions d'attribution
et non par leur
mode de calcul
.
Leur montant dépend notamment des ressources de votre foyer.
L'APL est versée
en raison de votre logement
(quelle que soit votre situation familiale : célibataire, marié, avec ou sans personne à charge).
Le plus souvent, il s'agit d'un
logement conventionné
: titleContent
que vous louez (la plupart des logements HLM sont conventionnés).
L'ALF est versée
en raison de votre situation familiale
si vous êtes dans l'une des situations suivantes :
L'ALS est versée
si vous ne pouvez pas prétendre à l'APL ou à l'ALF
.
Commission des droits pour l'autonomie des personnes handicapées
Logement faisant l'objet d'une convention entre l’État et le propriétaire du logement (ou l'organisme gestionnaire du logement) et qui ouvre droit à une aide au logement ou à une aide de l'Agence nationale de l'habitat
Personne dont on est issu (parent, grand-parent, arrière-grand-parent...)
Enfant, petit-enfant, arrière petit-enfant
Frères, sœurs, oncles, tantes, neveux et nièces","1"
"Comment sauvegarder une recherche ?","La recherche sauvegardée vous permet d'enregistrer vos critères de recherche, de consulter les annonces correspondantes à ces critères et d'être alerté par email et/ou notification si vous le souhaitez.La connexion à votre compte vous permet de retrouver toutes vos recherches sauvegardées sur tous vos appareils. Vous pouvez enregistrer jusqu'à 50 recherches sauvegardées depuis votre compte.Pour sauvegarder une recherche depuis le site Leboncoin :✔Connectez-vous à votre compte.✔Renseignez la catégorie du bien, service ou emploi que vous recherchez, ainsi que les filtres correspondant. Renseignez un ou plusieurs mots-clés dans le moteur de recherche ainsi que la ou les localisations.✔Lancez la recherche.✔Cliquez sur « Sauvegarder la recherche » qui s'affiche sur le bouton flottant en bas de vote écran.✔Une fois votre recherche sauvegardée, vous pouvez la retrouver dans l'ongletMes recherches. Vous pouvez à tout moment modifier ou supprimer votre recherche sauvegardée depuis cet onglet.Etre notifié de la publication de nouvelles annoncesSi vous souhaitez être notifié de la publication de nouvelles annonces correspondant à votre recherche, vous pouvez activer selon votre préférence :Notifications sur l'applicationNotifications par mail","0"
"Une salariée a-t-elle droit à des absences liées à sa grossesse ?","Pendant sa grossesse
, la salariée
bénéficie d'autorisations d'absence
pour se rendre aux
examens médicaux
obligatoires
prévus par l'assurance maladie.
Si elle a recours à
l'assistance médicale à la procréation (AMP)
, la salariée bénéficie d'une autorisation d'absence pour les actes médicaux nécessaires au protocole.
Après l'accouchement
, elle bénéficie d'une autorisation d'absence pour se rendre à
l'examen postnatal
obligatoire.
L'employeur peut demander un justificatif de ces absences.
Ces absences sont considérées comme du temps de travail effectif pour la détermination de la durée des congés payés et pour l'ancienneté. Ces absences
ne doivent pas entraîner une baisse de la rémunération
.
Pendant 1 an à partir de la naissance de son enfant,
la salariée peut s'absenter pour l'allaiter
. Ces temps de pause ne sont pas rémunérés. Des
dispositions conventionnelles
: titleContent
peuvent être plus favorables.
Un simulateur permet de rechercher la convention collective avec le nom de l'entreprise ou son numéro Siret :
Pour plus d'informations sur ce sujet, vous pouvez contacter Allô Service Public.
Attention : le service n'a pas accès aux dossiers personnels des usagers et ne peut donc pas renseigner sur leur état d'avancement.
Il
ne répond pas
aux questions portant sur l'indemnisation du chômage et les démarches auprès de
France Travail
(anciennement Pôle emploi), les
fonctionnaires
ou
contractuels
de la f
onction publique
, le montant ou le versement des
cotisations
sociales, salariales ou patronales.
Les informateurs qui vous répondent appartiennent au ministère chargé du travail.
Convention collective, accord collectif, accord de branche, d'entreprise ou d'établissement applicables en droit du travail. Elles fixent les obligations et les droits de l'employeur et du salarié.
Mariage, Pacs ou concubinage (union libre)","1"
"Maltraitance sur une personne âgée : comment l'identifier et la signaler ?","Les règles de signalement d'actes de maltraitance diffèrent en fonction de la situation de la personne qui dénonce ces faits : victime, témoin non soumis au secret professionnel, témoin tenu au secret professionnel.
Si vous êtes une personne âgée et que vous subissez des actes de maltraitance (physiques, psychologiques, financières, etc.), vous pouvez en parler à un proche en qui vous avez confiance.
Il peut s'agir d'un membre de votre famille ou de votre entourage (par exemple, votre médecin traitant, l’infirmière qui s’occupe de vous, une assistante sociale).
Vous pouvez également contacter la plateforme nationale de signalement des maltraitances envers les personnes vulnérables.
3977
Ouvert du lundi au vendredi de 9h à 19h et le samedi et dimanche de 9h à 13h et de 14h à 19h.
Appel et service gratuits
Un agent spécialement formé vous écoutera et vous donnera des conseils sur les démarches à accomplir.
Par ailleurs, il transmettra votre signalement à la cellule chargée du recueil, du suivi et du traitement des signalements de maltraitance.
Afin de garantir votre
anonymat
, vous pouvez utiliser un pseudonyme ou demander à ne pas être rappelé.
Si vous êtes témoin d'actes de maltraitance sur une personne âgée,
vous avez l'obligation
de les signaler.
Les démarches à faire varient en fonction du lieu de résidence de la personne âgée.
Tout acte de maltraitance
doit
être signalé à la plateforme nationale de signalement des maltraitances (3977).
Si la maltraitance se traduit par des actes de privation (exemple : de soins, de nourriture), des mauvais traitements ou des
agressions sexuelles
, les autorités administratives et judiciaires
doivent
être alertées.
Dans tous les cas, vous devez communiquer à ces autorités toutes les informations portant sur la maltraitance dont vous avez été témoin.
En tant que témoin d'actes de maltraitance sur une personne âgée,
vous devez
faire un signalement au
3977
.
3977
Ouvert du lundi au vendredi de 9h à 19h et le samedi et dimanche de 9h à 13h et de 14h à 19h.
Appel et service gratuits
Un agent spécialement formé vous écoutera et vous donnera des conseils sur les démarches à accomplir.
Par ailleurs, il transmettra votre signalement à la cellule chargée du recueil, du suivi et du traitement des signalements de maltraitance.
Si vous êtes témoin d'une situation de
maltraitances graves
(exemple : privation de nourriture,
agression sexuelle
), vous
devez également
alerter les autorités administratives compétentes.
En cas d'urgence (danger immédiat), vous avez l'obligation de faire un signalement aux autorités judiciaires.
Lorsque la victime se trouve en Ehpad ou en maison de retraite, les autorités administratives compétentes sont :
Vous pouvez contacter ces 2 administrations par mail, par téléphone ou par courrier postal.
Votre signalement mène à une enquête au sein de l'établissement concerné. L'
ARS
: titleContent
et le conseil départemental peuvent demander au responsable de l'établissement de faire cesser les maltraitances constatées.
Une fermeture provisoire ou définitive de la structure peut être envisagée.
Votre signalement doit être transmis, par téléphone ou par par lettre recommandée avec accusé de réception, au
procureur de la République
: titleContent
du lieu de l'établissement dans lequel les cas de maltraitance ont été commis.
Il peut également être fait par écrit, par téléphone ou sur place au commissariat de police ou à la brigade de gendarmerie de votre choix.
Les autorités judiciaires prendront les mesures nécessaires pour mettre fin aux maltraitances commises sur la personne âgée.
Le fait de ne pas dénoncer une situation de maltraitance de personne âgée dont vous avez eu connaissance vous expose à une peine de
3 ans d'emprisonnement
et de
45 000 €
d'amende.
Tout acte de maltraitance
doit
être signalé à la plateforme nationale de signalement des maltraitances (3977).
Si la maltraitance se traduit par des actes de privation (exemple : de soins, de nourriture), des mauvais traitements ou des
agressions sexuelles
, les autorités administratives et judiciaires
doivent
être alertées.
Dans tous les cas, vous devez communiquer à ces autorités toutes les informations portant sur la maltraitance dont vous avez été témoin.
En tant que témoin d'actes de maltraitance sur une personne âgée,
vous devez
faire un signalement au
3977
.
3977
Ouvert du lundi au vendredi de 9h à 19h et le samedi et dimanche de 9h à 13h et de 14h à 19h.
Appel et service gratuits
Un agent spécialement formé vous écoutera et vous donnera des conseils sur les démarches à accomplir.
Par ailleurs, il transmettra votre signalement à la cellule chargée du recueil, du suivi et du traitement des signalements de maltraitance.
Si vous êtes témoin d'une situation de
maltraitances graves
(exemple : privation de nourriture,
agression sexuelle
), vous
devez
alerter les autorités administratives compétentes.
En cas d'urgence (danger immédiat), vous avez l'obligation de faire un signalement aux autorités judiciaires.
Lorsque la victime vit chez elle ou chez un proche, les autorités administratives compétentes sont :
Vous pouvez contacter ces 2 administrations par mail, par téléphone ou par courrier postal.
Votre signalement mène à une enquête au sein de l'établissement concerné. L'
ARS
: titleContent
et le conseil départemental peuvent demander au responsable de l'établissement de faire cesser les maltraitances constatées.
Une fermeture provisoire ou définitive de la structure peut être envisagée.
Votre signalement doit être transmis, par téléphone ou par par lettre recommandée avec accusé de réception, au
procureur de la République
: titleContent
du lieu de l'établissement dans lequel les cas de maltraitance ont été commis.
Il peut également être fait par écrit, par téléphone ou sur place au commissariat de police ou à la brigade de gendarmerie de votre choix.
Les autorités judiciaires prendront les mesures nécessaires pour mettre fin aux maltraitances commises sur la personne âgée.
Le fait de ne pas dénoncer une situation de maltraitance de personne âgée dont vous avez eu connaissance vous expose à une peine de
3 ans d'emprisonnement
et de
45 000 €
d'amende.
Tout acte de maltraitance
doit
être signalé à la plateforme nationale de signalement des maltraitances (3977).
Si la maltraitance se traduit par des actes de privation (exemple : de soins, de nourriture), des mauvais traitements ou des agressions sexuelles, les autorités administratives et judiciaires
doivent
être alertées.
Dans tous les cas, vous devez communiquer à ces autorités toutes les informations portant sur la maltraitance dont vous avez été témoin.
En tant que témoin d'actes de maltraitance sur une personne âgée
,
vous devez
faire un signalement au
3977
.
3977
Ouvert du lundi au vendredi de 9h à 19h et le samedi et dimanche de 9h à 13h et de 14h à 19h.
Appel et service gratuits
Un agent spécialement formé vous écoutera et vous donnera des conseils sur les démarches à accomplir pour que les maltraitances cessent.
Par ailleurs, il transmettra votre signalement à la cellule chargée du recueil, du suivi et du traitement des signalements de maltraitance.
Si vous êtes d'une situation de maltraitances graves (exemple : privation de nourriture,
agression sexuelle
), vous
devez
alerter l'autorité administrative compétente.
En cas d'urgence (danger immédiat), vous avez l'obligation de faire un signalement aux autorités judiciaires.
Lorsque la victime se trouve à l'hôpital, les cas de maltraitance doivent être directement signalés à l'
ARS
: titleContent
du lieu de résidence de la personne âgée.
Vous pouvez signaler un cas de maltraitance par mail, par téléphone ou par courrier postal.
Votre signalement mène à une enquête au sein de l'établissement concerné. L'
ARS
: titleContent
peut demander au responsable de l'établissement de faire cesser les maltraitances constatées.
Une fermeture provisoire ou définitive de la structure peut être envisagée.
Votre signalement doit être transmis, par téléphone ou par par lettre recommandée avec accusé de réception, au
procureur de la République
: titleContent
du lieu de l'établissement dans lequel les cas de maltraitance ont été commis.
Il peut également être fait par écrit, par téléphone ou sur place au commissariat de police ou à la brigade de gendarmerie de votre choix.
Les autorités judiciaires prendront les mesures nécessaires pour mettre fin aux maltraitances commises sur la personne âgée.
Le fait de ne pas dénoncer une situation de maltraitance de personne âgée dont vous avez eu connaissance vous expose à une peine de
3 ans d'emprisonnement
et de
45 000 €
d'amende.
Les professionnels de santé, sociaux ou médico-sociaux (exemple : médecin, infirmier, assistant social) sont tenus au secret professionnel.
Toutefois, si vous êtes témoin de maltraitance sur une personne âgée,
vous pouvez
effectuer un signalement auprès des autorités médicales, administratives et judiciaires.
S'il existe un danger grave et immédiat pour la personne âgée
(exemple : un risque vital),
vous devez
effectuer ce signalement. Si vous ne le faites pas, vous pouvez être poursuivi pour
non assistance à personne en danger
.
Les moyens pour signaler des maltraitances diffèrent en fonction du lieu de résidence de la victime.
Si vous êtes témoin d'actes de maltraitance sur une personne âgée,
vous pouvez
les signaler à la plateforme nationale de signalement des maltraitances envers les personnes vulnérable (3977).
Vous
pouvez
également alerter les autorités administratives et judiciaires compétentes.
Les maltraitances peuvent se manifester par :
En tant que témoin d'actes de maltraitance sur une personne âgée
, vous pouvez faire un signalement au
3977
.
3977
Ouvert du lundi au vendredi de 9h à 19h et le samedi et dimanche de 9h à 13h et de 14h à 19h.
Appel et service gratuits
Un agent spécialement formé vous écoutera et vous donnera des conseils sur les démarches à accomplir pour que les maltraitances cessent.
Par ailleurs, il transmettra votre signalement à la cellule chargée du recueil, du suivi et du traitement des signalements de maltraitance.
Si vous êtes témoin d'une situation de maltraitance, vous
pouvez
alerter l'autorité administrative compétente.
En cas d'urgence (danger immédiat), vous
pouvez également
contacter les autorités judiciaires.
Vous devez leur communiquer toutes les informations qui portent sur la maltraitance dont vous avez connaissance.
Lorsque la victime réside en Ehpad ou en maison de retraite, l'autorité administrative compétente est le conseil départemental du lieu dans lequel se trouve l'établissement.
Votre signalement mène à une enquête au sein de l'établissement concerné. Le conseil départemental peut demander au responsable de l'établissement de faire cesser les maltraitances constatées.
Une fermeture provisoire ou définitive de la structure peut être envisagée.
Votre signalement doit être transmis, par téléphone ou par par lettre recommandée avec accusé de réception, au
procureur de la République
: titleContent
du lieu de l'établissement dans lequel les cas de maltraitance ont été commis.
Il peut également être fait par écrit, par téléphone ou sur place au commissariat de police ou à la brigade de gendarmerie de votre choix.
Les autorités judiciaires prendront les mesures nécessaires pour mettre fin aux maltraitances commises sur la personne âgée.
Si vous êtes témoin d'actes de maltraitance sur une personne âgée,
vous pouvez
les signaler à la plateforme nationale de signalement des maltraitances envers les personnes vulnérable (3977).
Vous
pouvez
également alerter les autorités administratives et judiciaires compétentes.
Les maltraitances peuvent se manifester par :
En tant que témoin d'actes de maltraitance sur une personne âgée
, vous pouvez faire un signalement au
3977
.
3977
Ouvert du lundi au vendredi de 9h à 19h et le samedi et dimanche de 9h à 13h et de 14h à 19h.
Appel et service gratuits
Un agent spécialement formé vous écoutera et vous donnera des conseils sur les démarches à accomplir pour que les maltraitances cessent.
Par ailleurs, il transmettra votre signalement à la cellule chargée du recueil, du suivi et du traitement des signalements de maltraitance.
Si vous êtes témoin d'une situation de maltraitance, vous
pouvez
alerter l'autorité administrative compétente.
En cas d'urgence (danger immédiat), vous
pouvez également
contacter les autorités judiciaires.
Vous devez leur communiquer toutes les informations qui portent sur la maltraitance dont vous avez connaissance.
Lorsque la victime se trouve chez elle ou chez un proche, l'autorité administrative compétente est le conseil départemental du lieu dans lequel se trouve l'établissement.
Votre signalement mène à une enquête au sein de l'établissement concerné. Le conseil départemental peut demander au responsable de l'établissement de faire cesser les maltraitances constatées.
Une fermeture provisoire ou définitive de la structure peut être envisagée.
Votre signalement doit être transmis, par téléphone ou par par lettre recommandée avec accusé de réception, au
procureur de la République
: titleContent
du lieu de l'établissement dans lequel les cas de maltraitance ont été commis.
Il peut également être fait par écrit, par téléphone ou sur place au commissariat de police ou à la brigade de gendarmerie de votre choix.
Les autorités judiciaires prendront les mesures nécessaires pour mettre fin aux maltraitances commises sur la personne âgée.
Si vous êtes témoin d'actes de maltraitance sur une personne âgée,
vous pouvez
les signaler à la plateforme nationale de signalement des maltraitances envers les personnes vulnérable (3977).
Vous pouvez également alerter les autorités administratives et judiciaires compétentes.
Les maltraitances peuvent se manifester par :
En tant que témoin d'actes de maltraitance sur une personne âgée
, vous pouvez faire un signalement au
3977
.
3977
Ouvert du lundi au vendredi de 9h à 19h et le samedi et dimanche de 9h à 13h et de 14h à 19h.
Appel et service gratuits
Un agent spécialement formé vous écoutera et vous donnera des conseils sur les démarches à accomplir pour que les maltraitances cessent.
Par ailleurs, il transmettra votre signalement à la cellule chargée du recueil, du suivi et du traitement des signalements de maltraitance.
Si vous êtes témoin d'une situation de maltraitance, vous
pouvez
alerter l'autorité administrative compétente.
En cas d'urgence (danger immédiat), vous
pouvez également
contacter les autorités judiciaires.
Vous devez leur communiquer toutes les informations qui portent sur la maltraitance dont vous avez connaissance.
Lorsque la victime se trouve à l'hôpital, l'autorité administrative compétente est le conseil départemental du lieu dans lequel se trouve l'établissement.
Votre signalement mène à une enquête au sein de l'établissement concerné. Le conseil départemental peut demander au responsable de l'établissement de faire cesser les maltraitances constatées.
Une fermeture provisoire ou définitive de la structure peut être envisagée.
Votre signalement doit être transmis, par téléphone ou par par lettre recommandée avec accusé de réception, au
procureur de la République
: titleContent
du lieu de l'établissement dans lequel les cas de maltraitance ont été commis.
Il peut également être fait par écrit, par téléphone ou sur place au commissariat de police ou à la brigade de gendarmerie de votre choix.
Les autorités judiciaires prendront les mesures nécessaires pour mettre fin aux maltraitances commises sur la personne âgée.
3977
Ouvert du lundi au vendredi de 9h à 19h et le samedi et dimanche de 9h à 13h et de 14h à 19h.
Appel et service gratuits
Agence régionale de santé
Fait de ne pas faire ou de ne pas dire quelque chose qui devait être fait ou dit
Magistrat à la tête du parquet (ou ministère public). Il est destinataire des plaintes et signalements. Il dirige les enquêtes, décide des poursuites et veille à l'application de la loi.
Obligation de réparer le préjudice résultant soit de l'inexécution d'un contrat, soit de la violation du devoir général de ne causer aucun dommage à autrui","1"
"Un parent peut-il avoir un droit de visite sans exercer l'autorité parentale ?","Le plus souvent, un parent n'exerce pas l'autorité parentale parce qu'une décision du juge accorde
l'exercice exclusif de l'autorité parentale
à l'autre parent.
Le parent qui fait une
reconnaissance tardive
de son enfant (après l'âge de 1 an) est lui aussi privé d'exercice de l'autorité parentale.
Il arrive enfin qu'aucun parent n'exerce l'autorité parentale en raison d'une
délégation d'autorité parentale
à un tiers.
Dans toutes ces situations, le parent qui n'exerce pas l'autorité parentale conserve les autres droits et devoirs attachés à l'autorité parentale. Il a le droit et le devoir de surveiller l'entretien et l'éducation de l'enfant et il peut demander au
Jaf
de lui accorder un
droit de visite et d'hébergement
.
Le Jaf prend sa décision en tenant compte de l’
intérêt de l’enfant
. Il accorde le droit de visite conformément au besoin de l'enfant d'avoir des liens effectifs et continus avec ses parents.
Le Jaf peut refuser le droit de visite pour le bien-être et la sécurité de l'enfant. Le refus n'intervient
que pour des motifs graves
(désintérêt envers l'enfant, violences, mise en danger de l'enfant...).
Le Jaf fixe les modalités d’exercice du droit de visite en tenant compte de l'
intérêt de l’enfant
.
Il peut décider que le droit de visite s’exercera
dans un lieu neutre
extérieur au domicile des parents (par exemple, dans un parc).
Le Jaf peut aussi décider que les visites se dérouleront dans un
espace de rencontre
désigné à cet effet. On parle alors de
droit de visite médiatisé
. Ce type de droit de visite est mis en place, par exemple, lorsqu'un parent est placé dans un établissement médical ou qu'il n'a pas de domicile fixe ou qu'il est en prison.
Pour plus d'informations sur ce sujet, vous pouvez contacter Allô Service Public.
Attention : le service n'a pas accès aux dossiers personnels des usagers et ne peut donc pas renseigner sur leur état d'avancement.
Les informateurs qui vous répondent appartiennent au ministère de la justice.
Ensemble de droits et de devoirs ayant pour finalité l'intérêt de l'enfant. Elle appartient aux parents ou à une tierce personne sur décision du juge, jusqu'à la majorité ou l'émancipation de l'enfant. Elle sert à protéger l'enfant dans sa sécurité, sa santé et sa moralité, pour assurer son éducation et permettre son développement, dans le respect dû à sa personne.","1"
"Les produits Paula’s Choice sont-ils vegan, ou peut-il arriver qu’ils contiennent des sous-produits animaux ?","La majorité des produits Paula’s Choice sont vegan, car ils ne contiennent aucun ingrédient animal ou d’origine animale. Nous essayons toujours, dans la limite du possible, de formuler nos produits sans avoir recours à ces ingrédients, et vous serez sûrement ravi.e d’apprendre que de nouveaux ingrédients de soin de la peau vegan sont constamment en cours de développement. Certains de nos produits contiennent cependant des ingrédients animaux ou d’origine animale, soit parce qu’ils sont nécessaires à la formulation du produit, soit parce qu’aucun ingrédient vegan équivalent n’est disponible.","0"
"A-t-on droit au chômage en France après un séjour en Europe ?","Si vous percevez des allocations chômage dans un autre pays
Européen (EEE + Suisse + Monaco + Andorre)
: titleContent
, vous pouvez continuer d'en bénéficier en France.
Avant votre retour en France
, vous devez répondre aux
2 conditions
suivantes :
Muni de ce document, vous pourrez vous
inscrire comme demandeur d'emploi
auprès de l'agence France Travail (anciennement Pôle emploi) dont dépend votre domicile en France.
Vous devez le faire
dans les 7 jours
qui suivent la date de votre cessation d'inscription comme demandeur d'emploi dans le pays que vous quittez.
Vos allocations peuvent être maintenues, en France,
pendant 3 mois
(extension possible à 6 mois maximum), dans la limite des droits qui vous sont ouverts dans le pays européen concerné. Pour cela, vous devez remplir les
2 conditions
suivantes :
Dès votre arrivée en France, vous
devez vous inscrire comme demandeur d'emploi.
Vous devez vous adresser à l'agence France Travail dont dépend votre domicile.
Vous pouvez bénéficier des mêmes droits que les ressortissants français :
Si vous reprenez une activité professionnelle en France et la perdez ultérieurement,
vous pourrez percevoir l'allocation chômage en France et vous pourrez faire valoir vos périodes à l'assurance chômage déjà acquis dans un autre pays
européen (EEE + Suisse)
: titleContent
(sauf cas particuliers, par exemple : si vous êtes travailleur détaché ou si vous exercez votre activité dans plusieurs pays européens).
Avant votre retour en France
, procurez-vous le
document portable U1
auprès de l'organisme payeur de vos allocations chômage.
Ce formulaire récapitule les périodes d'assurance ou d'emplois accomplis dans un autre État
européen (EEE + Suisse)
: titleContent
. Il permet la prise en compte de ces périodes pour le calcul de votre allocation chômage en France.
Après votre perte d'emploi en France,
vous devrez vous inscrire comme demandeur d'emploi auprès de France Travail (anciennement Pôle emploi). Vous pourrez alors demander la totalisation de vos droits au chômage acquis dans le ou les pays européens où vous avez travaillé. Si vous ne détenez pas le formulaire U1, l'agence France Travail dont dépend votre domicile pourra en faire la demande. Renseignez-vous auprès de votre agence.
Pour le
calcul de vos droits éventuels
à une indemnisation chômage en France, votre agence France Travail prend en compte les périodes d'emploi accomplies dans les 2 États.
Pour le
calcul du montant de votre allocation chômage
, France Travail prend en compte vos seules rémunérations perçues en France. Les rémunérations perçues dans un autre pays européen ne sont donc pas prises en compte pour le calcul du montant de l'allocation.
vous venez en France après avoir travaillé 5 ans en Italie. Vous reprenez une activité en France puis vous êtes licencié. Même si cette reprise a été de courte durée, vous pourrez percevoir le chômage.en France. Vos droits seront calculés sur vos périodes d'assurance accomplies
en Italie et en France
. Cependant, le montant de l'allocation chômage sera calculé sur vos seuls salaires perçus en France.
Allemagne, Andorre, Autriche, Belgique, Bulgarie, Chypre, Croatie, Danemark, Espagne, Estonie, Finlande, France, Grèce, Hongrie, Irlande, Islande, Italie, Lettonie, Liechtenstein, Lituanie, Luxembourg, Malte, Monaco, Norvège, Pays-Bas, Pologne, Portugal, République tchèque, Roumanie, Slovaquie, Slovénie, Suède, Suisse.
Allemagne, Autriche, Belgique, Bulgarie, Chypre, Croatie, Danemark, Espagne, Estonie, Finlande, Grèce, Hongrie, Irlande, Islande, Italie, Lettonie, Liechtenstein, Lituanie, Luxembourg, Malte, Norvège, Pays-Bas, Pologne, Portugal, République tchèque, Roumanie, Slovaquie, Slovénie, Suède, Suisse
Personne qui habite en France, près de la frontière avec un autre pays et qui travaille quotidiennement dans cet autre pays","1"
"Est-ce que je peux donner mon numéro de carte de crédit en toute sécurité?","Oui. Les données de votre commande passent par des serveurs sécurisés. Les données sont rendues invisible avant envoi via l'internet. Les données de votre carte de crédit sont cryptées et envoyées vers un serveur sécurisé. Vous pouvez le voir grâce à la mention 'https' ou la présence d'un petit cadenas avant l'adresse du site sur votre navigateur internet. Une fois votre carte et paiement validés, nous recevons l'autorisation, que nous vous communiquons et ensuite le colis vous êtes envoyé. Les données de votre carte sont codées pendant tout le processus et notre système est très bien sécurisée. Inutile de avoir de craintes quant à la sécurité de vos données.","0"
"Quel est le délai d'acceptation d'une demande de réservation ?","Dès l'envoi d'une demande de réservation par un voyageur, l'hôte dispose de 72 heures pour l'accepter ou la refuser.Suite à la demande de réservation, seule une autorisation de prélèvement est effectuée sur le compte du voyageur.Si l’hôte ne répond pas dans les 72 heures, la demande expire automatiquement et aucun prélèvement n’est effectué.Si l’hôte refuse la demande, aucun prélèvement n’est effectué.Si l’hôte accepte la demande, le prélèvement de l'acompte est effectué.","0"
"Dans quels cas faut-il utiliser une classe de geocoder d'API/le service de geocoding HTTP ?","Pour obtenir des détails sur les avantages et les limites des différentes stratégies de géocodage, consultez le document Stratégies de géocodage .","0"
"Une femme garde-t-elle son nom de famille en se mariant (""nom de jeune fille"") ?","Oui, en se mariant, une femme garde son
nom de famille
: titleContent
, c'est-à-dire
le nom inscrit sur son acte de naissance
.
Le mariage est
sans effet
sur le nom des époux : chacun conserve son nom de famille. Ce nom restera toujours inscrit sur ses papiers.
Nom qui figure sur l'acte de naissance (appelé aussi
nom de naissance
ou
nom patronymique
)","1"
"Comment renouveler mon récépissé ?","Vous trouverez toutes les informations sur les différentes modalités d'accueil de la préfecture et des sous-préfectures de l'Essonne encliquant ici.
Pour renouveler votre récépissé vous devez être muni d’un justificatif d’identité (passeport, carte de séjour, etc.), du récépissé arrivant à expiration et d’une photographie d’identité.","1"
"Comment un détenu est-il suivi après sa sortie de prison ?","En cas de libération anticipée, un ancien détenu est suivi dans le cadre d'un
aménagement de peine
: titleContent
.
Le
juge de l'application des peines (Jap)
: titleContent
et le
SPIP
: titleContent
veillent à ce que l'ancien détenu respecte les mesures de contrôle propres à l'un des aménagements suivants :
Dans le cadre de ces aménagements, l'ancien détenu peut notamment être soumis aux obligations et interdictions suivantes :
Une fois la peine de prison terminée, l'ancien détenu peut être suivi dans le cadre d'une :
Ces 2 mesures peuvent être prononcées contre un ancien détenu considéré comme
dangereux
, car il semble capable de
récidiver
: titleContent
.
Par ailleurs, si une personne a été condamnée à un
suivi socio-judiciaire
en plus d'une peine de prison, le suivi socio judiciaire peut continuer de s'appliquer après la libération.
Traitement d'antécédents judiciaires
Fichier judiciaire automatisé des auteurs d'infractions sexuelles ou violentes
Juge compétent pour superviser la manière dont la peine va être appliquée à une personne condamnée
Service départemental de l'administration pénitentiaire qui assure le contrôle et le suivi des peines exécutées au sein d'un établissement pénitentiaire ou en milieu ouvert
Fait, pour une personne déjà condamnée, de commettre une nouvelle infraction identique ou assimilée, dans un certain délai, et pouvant entraîner une peine plus lourde que celle normalement prévue.
Mode d'exécution d'une peine de prison ferme qui permet à la personne condamnée d’effectuer tout ou partie de sa peine en dehors d’une prison (détention à domicile sous surveillance électronique, semi-liberté, placement à l'extérieur, libération conditionnelle, etc.)
Mode d’aménagement de la peine au cours duquel le condamné doit rester à domicile ou dans le lieu désigné par le juge de l'application des peines, sauf en dehors des périodes fixées par le juge. La personne qui en bénéficie porte un bracelet électronique
Mesure qui permet à la personne condamnée d'exécuter sa peine en dehors de la prison pour exécuter une activité professionnelle ou bénéficier d'une prise en charge sanitaire
Régime de détention qui permet au détenu de quitter la prison pendant la journée et d'y retourner passer la nuit, dans le but de favoriser sa bonne insertion sociale après la libération
Acte interdit par la loi et puni d'une sanction pénale. Il existe 3 types d'infractions classés en fonction de leur gravité : les contraventions, les délits et les crimes
Document écrit contenant le résumé de l'affaire, la solution adoptée par la juridiction et les raisons pour lesquelles elle a pris cette décision
Corps de magistrats représentant les intérêts de la société devant les juridictions
Mesure dans le cadre de laquelle une personne est soumise à des obligations après sa sortie de prison pour éviter tout risque de récidive. Elle est applicable aux anciens détenus condamnés à une peine d'au moins 7 ans de prison pour un crime ou un délit faisant encourir un suivi socio-judiciaire ou à une peine d'au moins 5 ans de prison pour un crime ou un délit commis en récidive.","1"
